W23 finding — the rim read at the contour, per pixel, from the committed fixtures and the captures on hand (2026-09-08).
Columns: native = the committed fixture; rim004 / rim018 = W22 G0's fit captures at specularGain 0 and rimAlpha 0.04 / 0.18 (scratch); landed = the canonical web-captures at the 0.11.0 landing (rimAlpha 0.18, specularGain 0).
Rows are encoded luma (Rec.709 luma of the linearised pixels, re-encoded); y/x = 0 is the declared box's first row/column inside the shape.

== apple-macos-26.5-1x-light-standard dark-solid__rrect-md__rest box=(80,52)-(240,148)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  x= +7   0.8318   0.8196   0.8196   0.8196
  x= +8   0.8287   0.8193   0.8193   0.8193
  x= +9   0.8269   0.8179   0.8179   0.8179

== apple-macos-26.5-1x-light-standard checkerboard__capsule-button__rest box=(100,78)-(220,122)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.7030   0.7001   0.7001   0.7001
  y= -3   0.7001   0.7001   0.7001   0.7001
  y= -2   0.6972   0.6972   0.6972   0.6972
  y= -1   0.6942   0.6942   0.6942   0.6942
  y= +0   0.8977   0.8440   0.8775   0.8775
  y= +1   0.8196   0.8363   0.8363   0.8363
  y= +2   0.8071   0.8364   0.8364   0.8364
  y= +3   0.8074   0.8377   0.8377   0.8377
  y= +4   0.8036   0.8383   0.8383   0.8383
  y= +5   0.8012   0.8391   0.8391   0.8391
  y= +6   0.8015   0.8398   0.8398   0.8398
  y= +7   0.8011   0.8398   0.8398   0.8398
  y= +8   0.8011   0.8413   0.8413   0.8413
  y= +9   0.8001   0.8394   0.8394   0.8394
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.4097   0.4097   0.4097   0.4097
  x= -3   0.4079   0.4079   0.4079   0.4079
  x= -2   0.4060   0.4060   0.4060   0.4060
  x= -1   0.4046   0.4042   0.4042   0.4042
  x= +0   0.8181   0.7984   0.8281   0.8281
  x= +1   0.9157   0.9340   0.9373   0.9373
  x= +2   0.9007   0.9327   0.9327   0.9327
  x= +3   0.8797   0.9050   0.9050   0.9050
  x= +4   0.7975   0.8372   0.8372   0.8372
  x= +5   0.7411   0.7884   0.7884   0.7884
  x= +6   0.7182   0.7730   0.7730   0.7730
  x= +7   0.7175   0.7714   0.7714   0.7714
  x= +8   0.7220   0.7777   0.7777   0.7777
  x= +9   0.7293   0.7886   0.7886   0.7886

== apple-macos-26.5-1x-light-standard mid-dark-solid__capsule-button__rest box=(100,78)-(220,122)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.2588   0.2588
  y= -3   0.2549   0.2588
  y= -2   0.2549   0.2549
  y= -1   0.2549   0.2549
  y= +0   0.8353   0.7569
  y= +1   0.7059   0.7020
  y= +2   0.6941   0.7059
  y= +3   0.6941   0.7059
  y= +4   0.6941   0.7059
  y= +5   0.6941   0.7059
  y= +6   0.6941   0.7059
  y= +7   0.6941   0.7059
  y= +8   0.6941   0.7059
  y= +9   0.6941   0.7059
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.2510   0.2516
  x= -3   0.2494   0.2510
  x= -2   0.2484   0.2497
  x= -1   0.2504   0.2487
  x= +0   0.7305   0.6434
  x= +1   0.7215   0.7119
  x= +2   0.6961   0.7059
  x= +3   0.6941   0.7059
  x= +4   0.6941   0.7059
  x= +5   0.6941   0.7059
  x= +6   0.6941   0.7059
  x= +7   0.6941   0.7059
  x= +8   0.6941   0.7059
  x= +9   0.6941   0.7059

== apple-macos-26.5-2x-light-standard dark-solid__rrect-md__rest box=(160,104)-(480,296)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.1065   0.1025   0.1025   0.1025
  y= -3   0.1065   0.1025   0.1025   0.1025
  y= -2   0.1065   0.1025   0.1025   0.1025
  y= -1   0.1065   0.1025   0.1025   0.1025
  y= +0   0.8788   0.7451   0.8039   0.8039
  y= +1   0.8141   0.7333   0.7569   0.7569
  y= +2   0.7219   0.7294   0.7294   0.7294
  y= +3   0.7219   0.7258   0.7258   0.7258
  y= +4   0.7219   0.7294   0.7294   0.7294
  y= +5   0.7219   0.7294   0.7294   0.7294
  y= +6   0.7219   0.7294   0.7294   0.7294
  y= +7   0.7219   0.7294   0.7294   0.7294
  y= +8   0.7219   0.7294   0.7294   0.7294
  y= +9   0.7219   0.7294   0.7294   0.7294
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.1065   0.0986   0.0986   0.0986
  x= -3   0.1065   0.0986   0.0986   0.0986
  x= -2   0.1065   0.0986   0.0986   0.0986
  x= -1   0.1065   0.0986   0.0986   0.0986
  x= +0   0.8788   0.7451   0.8039   0.8039
  x= +1   0.8138   0.7333   0.7569   0.7569
  x= +2   0.7219   0.7294   0.7294   0.7294
  x= +3   0.7219   0.7258   0.7258   0.7258
  x= +4   0.7219   0.7294   0.7294   0.7294
  x= +5   0.7219   0.7294   0.7294   0.7294
  x= +6   0.7219   0.7294   0.7294   0.7294
  x= +7   0.7219   0.7294   0.7294   0.7294
  x= +8   0.7219   0.7294   0.7294   0.7294
  x= +9   0.7219   0.7294   0.7294   0.7294

== apple-macos-26.5-2x-light-standard light-solid__rrect-md__rest box=(160,104)-(480,296)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.9230   0.9191   0.9191   0.9191
  y= -3   0.9227   0.9191   0.9191   0.9191
  y= -2   0.9191   0.9191   0.9191   0.9191
  y= -1   0.9191   0.9152   0.9152   0.9152
  y= +0   1.0000   0.9770   1.0000   1.0000
  y= +1   0.9899   0.9692   0.9849   0.9849
  y= +2   0.9706   0.9653   0.9656   0.9656
  y= +3   0.9706   0.9653   0.9653   0.9653
  y= +4   0.9706   0.9653   0.9653   0.9653
  y= +5   0.9706   0.9653   0.9653   0.9653
  y= +6   0.9706   0.9656   0.9656   0.9656
  y= +7   0.9706   0.9656   0.9656   0.9656
  y= +8   0.9706   0.9656   0.9656   0.9656
  y= +9   0.9706   0.9656   0.9656   0.9656
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.9034   0.8995   0.8995   0.8995
