profile,scheme,scale,renderer,scene,backdrop,component,pose,tinted,set,R,twin,ratio2Native,ratio2Web,levelNative,levelWeb,structureNative,structureWeb,rimPeakWeb,rimPeakNative,tintDeltaLWeb,tintChromaDeltaWeb,ssim,deP95,departure,departureNative
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,mid-chroma-solid__rrect-md__inactive,mid-chroma-solid,rrect-md,inactive,False,probe,3.5309380990145836,0.21366376395962322,1.03322375346614,0.44300694321489353,0.2726737652110187,0.07471776064728294,0.003688816691775566,0.0033722259061077014,0.003479635101498374,0,-0.20242316108153835,-0.17182025544958013,0.9949612146098066,0.3180855091168165,0.001763130809619163,0.0003122936647387599
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,mid-chroma-solid__rrect-md__inactive,mid-chroma-solid,rrect-md,inactive,False,probe,4.109528301229236,0.22336930271787583,1.03322375346614,0.26639653269099167,0.2726737652110187,0.07703965585408697,0.003688816691775566,0.002271596520467601,0.004066365457505272,0,-0.20556118926990813,-0.2264507459884929,0.9971948681084866,0.3510322275406376,0.0017170537980716978,0.0003122936647387599
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,photo__capsule-button__inactive-tint-orange,photo,capsule-button,inactive,True,calibration,0.6985281092827037,0.03216815336856001,0.6475385067722627,0.0016120237046605844,0.29142764205019533,0.2916193947720095,0.04539515916543385,0.002531044922571266,0,0.0104301877186333,0.06357956705868395,-0.0203326159378673,0.9935094376789816,0.068871716484483,0.0002799321368711322,0.00024099741882990737
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,photo__capsule-button__inactive-tint-orange,photo,capsule-button,inactive,True,calibration,0.24777748495392676,0.013305276187964595,0.6475385067722627,0.002942797662366545,0.29142764205019533,0.2901490479240306,0.04539515916543385,0.012014628129787475,0.001348968815017726,0.0104301877186333,0.06245469252861047,-0.02026627869273521,0.9934079071058564,0.06765042133128257,0.0002750383810228368,0.00024099741882990737
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,photo__capsule-button__inactive,photo,capsule-button,inactive,False,calibration,1.0555650505349958,0.8761347997172032,0.9051189185518475,0.2283684252837484,0.2045825742116378,0.1877015727865924,0.04290656198755946,0.011513065220182783,0.0002928427126254185,0.005136536691939919,-0.02954342567629642,-0.011878490378362857,0.991773864178893,0.07885268734453335,0.000285075118625094,0.00024803484633417245
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,photo__capsule-button__inactive,photo,capsule-button,inactive,False,calibration,0.6582954203224999,0.48818804753045375,0.9051189185518475,0.11444071093424998,0.2045825742116378,0.1879836183997335,0.04290656198755946,0.009188730998895308,0,0.005136536691939919,-0.029346017372430366,-0.012674878580084238,0.9917749567282089,0.08776957548797028,0.00028680196875344085,0.00024803484633417245
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,photo__capsule-button__rest-tint-orange,photo,capsule-button,active,True,calibration,0.8132929679980104,3.8522265262810165,1.483984916330976,1.5415050390548135,0.4439144367505408,0.42754484648917473,0.0206785825562901,0.004440468753106161,0.002475205881600717,0.051293113361928655,0.1656754579228079,0.15468629326237535,0.9882878094426948,0.011253749505664929,-0.0004181063862076913,0.00019711391876270652
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,photo__capsule-button__rest-tint-orange,photo,capsule-button,active,True,calibration,1.3734188088523724,2.509727780320616,1.483984916330976,1.5391575677123768,0.4439144367505408,0.42783728942190896,0.0206785825562901,0.008194156797870607,0.02414474820578144,0.051293113361928655,0.1657491663196594,0.15432560439211102,0.9965405539749126,0.011253749505664929,0.0002597967117387543,0.00019711391876270652
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,photo__capsule-button__rest,photo,capsule-button,active,False,calibration,0.9842759825020384,0.7226670189561519,0.9731724896496379,0.21895059262985908,0.22619569424873018,0.1783758912768478,0.04759626925505541,0.012549586039199718,0.013744775592363562,0.07119525587016534,-0.03396529344211241,-0.020926711604921953,0.9877388281893557,0.09184903109132865,0.0007866787653225191,0.00021056257467569087
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,photo__capsule-button__rest,photo,capsule-button,active,False,calibration,0.3516538628176922,0.24230676041570828,0.9731724896496379,0.10704531856868692,0.22619569424873018,0.1768672806343813,0.04759626925505541,0.016789804575301936,0.03852850738914332,0.07119525587016534,-0.035757997653542706,-0.02280824374670358,0.9924729898790476,0.09743638267949732,0.0002763311958750438,0.00021056257467569087
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,photo__rrect-md__inactive,photo,rrect-md,inactive,False,calibration,0.9340647814255166,0.8578574486600533,0.9060300626649113,0.23500277641609807,0.16970309971385808,0.16021138422475775,0.03509309150935081,0.010339589417280718,0,0,-0.06497099273423723,-0.012616534344925009,0.9857173896069394,0.129383234772162,0.0015073079987314834,0.0005072312003625373
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,photo__rrect-md__inactive,photo,rrect-md,inactive,False,calibration,0.4950975081557862,0.38972170352157914,0.9060300626649113,0.12266420252052643,0.16970309971385808,0.16248226620145081,0.03509309150935081,0.010441754653474815,0,0,-0.06273550573307896,-0.015413765383369736,0.985662092682428,0.1521690049343197,0.0016336973418057002,0.0005072312003625373
