tier,profile,scene,expectedEncoded,actualEncoded,deltaCodes,gated,withinCode
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__capsule-button__rest-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__rrect-lg__inactive,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__rrect-lg__rest,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__rrect-md__inactive,0.44739552256259263,0.4473254680633545,-0.017863897305724907,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__rrect-md__rest,0.44739552256259263,0.4473254680633545,-0.017863897305724907,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__toolbar-group__inactive,0.4906975334496801,0.4906199475129445,-0.019784413867570128,true,true
webgpu,apple-macos-26.5-1x-light-increased-contrast,photo__toolbar-group__rest,0.4906975334496801,0.4906199475129445,-0.019784413867570128,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,checkerboard__capsule-button__inactive,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,checkerboard__capsule-button__rest,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,checkerboard__rrect-md__inactive,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,checkerboard__rrect-md__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,hc-text__capsule-button__inactive,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,hc-text__capsule-button__rest,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__capsule-button__inactive,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__capsule-button__inactive-pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__capsule-button__inactive-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__capsule-button__pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
