== light-lit1-1x / apple-macos-26.5-1x-light-standard   fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/light-lit1-1x/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest-tint-orange calibration web     0.3668  0.3139  0.3561 -0.0194  0.4485  0.4414  0.0829  0.1201  0.1514  0.2586  0.3763  0.4154  0.4366  0.0970  0.1336  0.4992  0.2341     inf      NW -0.039
photo__capsule-button__rest-tint-orange  calibration native  0.3441  0.1580  0.0623  0.0270  0.0901  0.1778  0.1935  0.2302  0.1972  0.1579  0.0522  0.0137  0.0534  0.1517  0.1507  0.1469  0.1454   16.80      SE  0.060
photo__capsule-button__rest-tint-orange  calibration web     0.3541  0.1360  0.0500  0.0248  0.0717  0.1606  0.1723  0.2043  0.1761  0.1379  0.0513  0.0153  0.0506  0.1243  0.1277  0.1299  0.1119   13.38      SE  0.075
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4270  0.4313  0.4255  0.4223  0.4098  0.4067  0.3973  0.3904  0.3869  0.3904  0.3951  0.4046  0.4098  0.4235  0.4286  0.4313    1.11     NNE  0.897
light-solid__capsule-button__rest-tint-orange calibration web     0.4277  0.4221  0.4202  0.4119  0.4089  0.4003  0.3918  0.3896  0.3835  0.3816  0.3834  0.3896  0.3916  0.4003  0.4091  0.4128  0.4204    1.11       N  0.904
photo__capsule-button__rest-tint-blue    calibration native  0.1908  0.2129  0.1095  0.1478  0.2148  0.2420  0.2706  0.3057  0.2693  0.2130  0.0886  0.0338  0.0964  0.2134  0.2304  0.2294  0.2129    9.04      SE  0.111
photo__capsule-button__rest-tint-blue    calibration web     0.1971  0.1546  0.0802  0.1285  0.2042  0.2254  0.2405  0.3020  0.2338  0.1562  0.0668  0.0167  0.0697  0.1531  0.1610  0.1525  0.1407   18.10      SE  0.055
photo__capsule-button__rest-tint-orange-half calibration native  0.4303  0.1574  0.0704  0.0398  0.0834  0.1952  0.1899  0.1934  0.2000  0.1551  0.0541  0.0266  0.0477  0.1363  0.1317  0.1250  0.1271    7.53     SSE  0.133
photo__capsule-button__rest-tint-orange-half calibration web     0.4530  0.1790  0.0600  0.0363  0.0760  0.1862  0.1949  0.2184  0.2002  0.1799  0.0463  0.0136  0.0471  0.1421  0.1433  0.1717  0.1326   16.11      SE  0.062
checkerboard__capsule-button__rest-tint-blue validation  native  0.1950  0.4436  0.4869 -0.0090  0.6041  0.6084  0.1807  0.1891  0.2618  0.3731  0.5287  0.5795  0.6052  0.2316  0.2483  0.6712  0.3571     inf      NW -0.013
checkerboard__capsule-button__rest-tint-blue validation  web     0.2045  0.3983  0.4731  0.0010  0.5980  0.5971  0.1206  0.1487  0.2094  0.3543  0.5252  0.5777  0.5986  0.1100  0.1521  0.6601  0.2874  633.58      NW  0.002
photo__rrect-md__rest-tint-orange        validation  native  0.3607  0.1490  0.0213  0.0188  0.0320  0.1748  0.1896  0.1946  0.1847  0.1548  0.0141  0.0087  0.0279  0.1505  0.1412  0.1447  0.1359   22.44      SE  0.045
photo__rrect-md__rest-tint-orange        validation  web     0.3627  0.1200  0.0598  0.0221  0.0655  0.1335  0.1326  0.1286  0.1260  0.1240  0.0610  0.0082  0.0641  0.1178  0.1113  0.0934  0.1088   16.31       E  0.061

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a22f98cf20d905337/packages/calibration/results/2026-09-09-w24-lit-edge/g0/ladder/light-lit1-1x.json
