== probe9-base / apple-macos-26.5-1x-light-standard   fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/probe9-base/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-lc16__rrect-ml__rest        calibration native  0.7993  0.1052  0.0675  0.0858  0.0827  0.1024  0.0927  0.0583  0.0762  0.1071  0.0761  0.0795  0.0791  0.0964  0.0551  0.0574  0.0726    1.94       S  0.515
checkerboard-lc16__rrect-ml__rest        calibration web     0.8003  0.1372  0.1250  0.1047  0.1048  0.1093  0.1094  0.0891  0.0608  0.1348  0.1034  0.0876  0.0507  0.1428  0.0806  0.0878  0.0488    2.93       W  0.342
hc-text-7__rrect-sm__rest                calibration native  0.6710  0.2089  0.2144  0.1986  0.1902  0.1579  0.2004  0.1960  0.1935  0.1607  0.1453  0.1373  0.1426  0.1552  0.1274  0.2004  0.2144    1.68     NNW  0.594
hc-text-7__rrect-sm__rest                calibration web     0.7567  0.1535  0.2060  0.2265  0.1855  0.1695  0.1937  0.1827  0.1656  0.1928  0.0864  0.1759  0.1039  0.1423  0.0780  0.1891  0.2047    2.91      NE  0.344
hc-text-7__rrect-md__rest                validation  native  0.7422  0.1665  0.1632  0.1749  0.1709  0.1769  0.2197  0.1992  0.1813  0.1105  0.0817  0.0820  0.0818  0.1042  0.1215  0.1431  0.1075    2.69     ESE  0.372
hc-text-7__rrect-md__rest                validation  web     0.7567  0.1579  0.1941  0.2076  0.1848  0.1765  0.2200  0.2126  0.2059  0.1934  0.1170  0.1331  0.1423  0.1427  0.1517  0.1844  0.1141    1.93     ESE  0.518
hc-text-7__rrect-lg__rest                calibration native  0.8099  0.1290  0.1482  0.1476  0.1672  0.1741  0.1631  0.1751  0.1713  0.1249  0.0499  0.0372  0.0753  0.0898  0.0864  0.1037  0.1238    4.71      SE  0.212
hc-text-7__rrect-lg__rest                calibration web     0.7924  0.1067  0.1819  0.2011  0.2034  0.2029  0.1791  0.1951  0.1962  0.1159  0.0724  0.0647  0.0814  0.0943  0.0924  0.1083  0.1247    3.14     ENE  0.318
hc-text__rrect-sm__rest                  calibration native  0.7437  0.1443  0.1449  0.1296  0.1277  0.0891  0.1526  0.1526  0.1526  0.1526  0.1526  0.1526  0.1526  0.0959  0.1277  0.1296  0.1443    1.71     ESE  0.584
hc-text__rrect-sm__rest                  calibration web     0.7813  0.1162  0.1195  0.1227  0.1821  0.1452  0.1621  0.1233  0.1233  0.1233  0.1233  0.1233  0.1621  0.1444  0.1785  0.1149  0.1143    1.59     ENE  0.627
