subset,scheme,pose,thickness,predictor,n,uniqueX,rms
clean-standard-canonical,dark,inactive,thick,dilated/0.125,22,15,0.00293657945677677
clean-standard-canonical,dark,inactive,thick,gaussian/0.125,22,15,0.002381127646070605
clean-standard-canonical,dark,inactive,thick,dilated/0.25,22,15,0.00293657945677677
clean-standard-canonical,dark,inactive,thick,gaussian/0.25,22,15,0.00293657945677677
clean-standard-canonical,dark,inactive,thick,dilated/0.5,22,13,0.00293657945677677
clean-standard-canonical,dark,inactive,thick,gaussian/0.5,22,15,0.00293657945677677
clean-standard-canonical,dark,inactive,thick,dilated/1,22,9,0.00293657945677677
clean-standard-canonical,dark,inactive,thick,gaussian/1,22,15,0.00293657945677677
clean-standard-canonical,dark,inactive,thin,source,6,4,0.000284996976416923
clean-standard-canonical,dark,inactive,thin,body,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,silhouette,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,dilated/0,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,gaussian/0,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,dilated/0.03125,6,5,0.00040041309623646174
clean-standard-canonical,dark,inactive,thin,gaussian/0.03125,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,dilated/0.0625,6,5,0.00040041309623646174
clean-standard-canonical,dark,inactive,thin,gaussian/0.0625,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,dilated/0.125,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,gaussian/0.125,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,dilated/0.25,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,gaussian/0.25,6,5,0.00040041309623646174
clean-standard-canonical,dark,inactive,thin,dilated/0.5,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,gaussian/0.5,6,5,0.00040041309623646174
clean-standard-canonical,dark,inactive,thin,dilated/1,6,5,0.00040041197674773075
clean-standard-canonical,dark,inactive,thin,gaussian/1,6,5,0.00040041197674773075
clean-standard-canonical,light,active,thick,source,48,12,0.015735557988199235
clean-standard-canonical,light,active,thick,body,48,26,0.008181494184897393
clean-standard-canonical,light,active,thick,silhouette,48,26,0.00872300008400881
clean-standard-canonical,light,active,thick,dilated/0,48,26,0.00872300008400881
clean-standard-canonical,light,active,thick,gaussian/0,48,26,0.008181494184897393
clean-standard-canonical,light,active,thick,dilated/0.03125,48,25,0.008723053638089603
clean-standard-canonical,light,active,thick,gaussian/0.03125,48,26,0.008181449133598546
clean-standard-canonical,light,active,thick,dilated/0.0625,48,26,0.00872305431223116
clean-standard-canonical,light,active,thick,gaussian/0.0625,48,26,0.008181449133598546
clean-standard-canonical,light,active,thick,dilated/0.125,48,26,0.008902734952460545
clean-standard-canonical,light,active,thick,gaussian/0.125,48,26,0.008198585726911505
clean-standard-canonical,light,active,thick,dilated/0.25,48,26,0.010906902677415143
clean-standard-canonical,light,active,thick,gaussian/0.25,48,26,0.009281708439468402
clean-standard-canonical,light,active,thick,dilated/0.5,48,24,0.010051983094070979
clean-standard-canonical,light,active,thick,gaussian/0.5,48,26,0.009673253849711601
clean-standard-canonical,light,active,thick,dilated/1,48,18,0.01549988394721758
clean-standard-canonical,light,active,thick,gaussian/1,48,26,0.0154427428450478
clean-standard-canonical,light,active,thin,source,36,12,0.08483320709686785
clean-standard-canonical,light,active,thin,body,36,19,0.029948443490433643
clean-standard-canonical,light,active,thin,silhouette,36,19,0.011344951194633962
clean-standard-canonical,light,active,thin,dilated/0,36,19,0.011344951194633962
clean-standard-canonical,light,active,thin,gaussian/0,36,19,0.029948443490433643
clean-standard-canonical,light,active,thin,dilated/0.03125,36,20,0.01563180252533998
clean-standard-canonical,light,active,thin,gaussian/0.03125,36,19,0.030071710378817035
clean-standard-canonical,light,active,thin,dilated/0.0625,36,18,0.0169215515869812
clean-standard-canonical,light,active,thin,gaussian/0.0625,36,20,0.030071710378817035
clean-standard-canonical,light,active,thin,dilated/0.125,36,20,0.01762110999779117
clean-standard-canonical,light,active,thin,gaussian/0.125,36,20,0.025135990583407177
clean-standard-canonical,light,active,thin,dilated/0.25,36,20,0.017520693379422848
clean-standard-canonical,light,active,thin,gaussian/0.25,36,20,0.01763188796894652
clean-standard-canonical,light,active,thin,dilated/0.5,36,20,0.03812082910005038
clean-standard-canonical,light,active,thin,gaussian/0.5,36,20,0.016990867161818204
clean-standard-canonical,light,active,thin,dilated/1,36,20,0.08124525436734839
clean-standard-canonical,light,active,thin,gaussian/1,36,20,0.06128096401066912
clean-standard-canonical,light,inactive,thick,source,28,7,0.0061158411365831635
clean-standard-canonical,light,inactive,thick,body,28,19,0.0013598042646980728
clean-standard-canonical,light,inactive,thick,silhouette,28,19,0.001353680667533101
clean-standard-canonical,light,inactive,thick,dilated/0,28,19,0.001353680667533101
clean-standard-canonical,light,inactive,thick,gaussian/0,28,19,0.0013598042646980728
clean-standard-canonical,light,inactive,thick,dilated/0.03125,28,18,0.004868229868010517
clean-standard-canonical,light,inactive,thick,gaussian/0.03125,28,19,0.0013597943065703384
clean-standard-canonical,light,inactive,thick,dilated/0.0625,28,19,0.004864356690406746
clean-standard-canonical,light,inactive,thick,gaussian/0.0625,28,19,0.0013597943065703384
clean-standard-canonical,light,inactive,thick,dilated/0.125,28,19,0.004865153407206771
clean-standard-canonical,light,inactive,thick,gaussian/0.125,28,19,0.0013597943065703384
clean-standard-canonical,light,inactive,thick,dilated/0.25,28,19,0.006112286199261076
clean-standard-canonical,light,inactive,thick,gaussian/0.25,28,19,0.004868426341148531
clean-standard-canonical,light,inactive,thick,dilated/0.5,28,17,0.006110822491457364
clean-standard-canonical,light,inactive,thick,gaussian/0.5,28,19,0.006115265427704137
clean-standard-canonical,light,inactive,thick,dilated/1,28,13,0.006114109431627024
clean-standard-canonical,light,inactive,thick,gaussian/1,28,19,0.006106929560782627
clean-standard-canonical,light,inactive,thin,source,12,6,0.011857522359183106
clean-standard-canonical,light,inactive,thin,body,12,9,0.0027584976383874887
clean-standard-canonical,light,inactive,thin,silhouette,12,9,0.0027597531554171034
clean-standard-canonical,light,inactive,thin,dilated/0,12,9,0.0027597531554171034
