
## 1x-grid  (apple-macos-26.5-1x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=200        0.05508     —        —      0.9555   0.9046     —      0.9959
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=300        0.05527     —        —      0.9507   0.8929     —      0.9959
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=30         0.05459     —        —      0.9822   0.9807     —      0.9958
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=20         0.05264     —        —      0.9817   0.9803     —      0.9958
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=50         0.05687     —        —      0.9783   0.9750     —      0.9959
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=80         0.05862     —        —      0.9609   0.9356     —      0.9959
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=100        0.05929     —        —      0.9521   0.9156     —      0.9958
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=150        0.06008     —        —      0.9392   0.8863     —      0.9958
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=200        0.06040     —        —      0.9329   0.8710     —      0.9957
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=300        0.06082     —        —      0.9262   0.8559     —      0.9957

### ssimMean

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.9988   0.9852   0.9695   0.9482   0.9643   0.9975
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=100        0.05272   0.9988   0.9852   0.9698   0.9464   0.9643   0.9975
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=80         0.05258   0.9988   0.9852   0.9699   0.9474   0.9643   0.9975
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=50         0.05254   0.9988   0.9852   0.9699   0.9490   0.9643   0.9975
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=200        0.05288   0.9988   0.9852   0.9701   0.9435   0.9643   0.9975
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=30         0.05229   0.9988   0.9852   0.9697   0.9486   0.9643   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=30         0.05156   0.9989   0.9854   0.9693   0.9466   0.9643   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=50         0.05204   0.9989   0.9854   0.9695   0.9461   0.9643   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=80         0.05256   0.9989   0.9855   0.9691   0.9419   0.9643   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=100        0.05274   0.9989   0.9855   0.9689   0.9394   0.9644   0.9975
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=20         0.05241   0.9988   0.9852   0.9695   0.9476   0.9643   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=150        0.05309   0.9989   0.9856   0.9686   0.9359   0.9644   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=200        0.05321   0.9989   0.9856   0.9683   0.9337   0.9644   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=300        0.05329   0.9989   0.9856   0.9684   0.9316   0.9644   0.9975
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=20         0.05166   0.9988   0.9853   0.9689   0.9459   0.9642   0.9975
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=30         0.05153   0.9989   0.9856   0.9681   0.9438   0.9640   0.9974
