
## 2x-grid  (apple-macos-26.5-2x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=40         0.06617   0.9663   0.8879   0.9163   0.9118   0.7476   0.9931
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=60         0.06625   0.9663   0.8879   0.9163   0.9093   0.7476   0.9931
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=20         0.06590   0.9663   0.8879   0.9136   0.9098   0.7476   0.9931
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=100        0.06639   0.9663   0.8879   0.9163   0.9067   0.7476   0.9931
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=200        0.06661   0.9663   0.8879   0.9163   0.9052   0.7476   0.9931
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=300        0.06669   0.9663   0.8879   0.9163   0.9042   0.7476   0.9931
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=40         0.06630   0.9663   0.8879   0.9103   0.9013   0.7476   0.9931
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=20         0.06598   0.9652   0.8868   0.9083   0.9032   0.7448   0.9931
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=60         0.06655   0.9663   0.8879   0.9088   0.8950   0.7476   0.9931
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=100        0.06691   0.9663   0.8879   0.9077   0.8888   0.7476   0.9931
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=200        0.06749   0.9663   0.8879   0.9062   0.8848   0.7476   0.9931
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=300        0.06772   0.9663   0.8879   0.9064   0.8826   0.7476   0.9931
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=40         0.06629   0.9640   0.8860   0.9017   0.8896   0.7436   0.9931
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=20         0.06658   0.9613   0.8834   0.9026   0.8963   0.7387   0.9930
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=60         0.06693   0.9642   0.8853   0.8983   0.8791   0.7438   0.9931
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=100        0.06808   0.9639   0.8846   0.8939   0.8705   0.7436   0.9931
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=40         0.06850   0.9596   0.8808   0.8921   0.8774   0.7368   0.9930
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=200        0.06926   0.9634   0.8845   0.8903   0.8626   0.7431   0.9931
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=300        0.06962   0.9634   0.8843   0.8898   0.8598   0.7429   0.9931
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=60         0.06995   0.9585   0.8785   0.8850   0.8631   0.7350   0.9930
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=100        0.07159   0.9578   0.8766   0.8782   0.8504   0.7338   0.9930
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=200        0.07329   0.9562   0.8749   0.8720   0.8394   0.7325   0.9930
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=300        0.07376   0.9552   0.8741   0.8714   0.8357   0.7319   0.9930

### ssimInterior

