comparator,profile,pose,part,family,space,objective,fitFile,fit,power,angleRadians,worstAbsoluteBin,shellZeroWorstAbsoluteBin,observedBarMaximum,effectiveTolerance,populatedBins,pixels,underpopulatedBins,outcome,domain
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,isotropic-two-axis,encoded,minimax,fits.json,131,1.0,0.0,118.0,88.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,one-sided-diagonal,encoded,least-squares,fits.json,50,2.0,0.0,118.0,84.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,rotated-axis,encoded,least-squares,fits.json,114,0.5,1.5707963267948966,118.0,91.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,shipped-diagonal,encoded,least-squares,fits.json,66,2.0,0.0,118.0,84.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,signed-normal,encoded,least-squares,fits.json,82,2.0,0.0,118.0,84.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-dark-standard-glass0.5,rest,straight,two-term-even,encoded,least-squares,fits.json,98,4.0,0.0,118.0,91.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,body-forward-affine,encoded,least-squares,fits.json,260,2.0,0.0,15.75,15.75,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,body-forward-affine,linear,least-squares,fits.json,372,2.0,0.0,22.75,22.75,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,body-forward-even-affine,encoded,least-squares,fits.json,276,8.0,0.0,14.625,14.625,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,body-forward-even-affine,linear,least-squares,fits.json,388,8.0,0.0,22.75,22.75,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,colour-gradient,encoded,least-squares,fits.json,164,2.0,0.0,97.0,29.25,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,constant,encoded,least-squares,fits.json,4,2.0,0.0,97.0,28.666666666666668,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-add,encoded,minimax,fits.json,181,2.0,0.0,79.0,25.0,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-add,linear,least-squares,fits.json,292,2.0,0.0,79.0,66.25,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-affine,encoded,least-squares,fits.json,228,2.0,0.0,79.0,22.77777777777778,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-affine,linear,minimax,fits.json,341,2.0,0.0,79.0,17.666666666666668,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-even-affine,encoded,minimax,fits.json,245,0.5,0.0,79.0,27.666666666666668,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-even-affine,linear,minimax,fits.json,357,2.0,0.0,79.0,17.666666666666668,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-multiply,encoded,least-squares,fits.json,196,2.0,0.0,79.0,18.875,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-multiply,linear,minimax,fits.json,309,2.0,0.0,79.0,17.666666666666668,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-screen,encoded,least-squares,fits.json,212,2.0,0.0,79.0,42.0,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,coverage-screen,linear,least-squares,fits.json,324,2.0,0.0,79.0,40.55555555555556,0.0,1,384,3448,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,even,encoded,least-squares,fits.json,20,0.5,0.0,97.0,30.666666666666668,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,gradient,encoded,least-squares,fits.json,148,2.0,0.0,97.0,32.666666666666664,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,isotropic-even,encoded,minimax,fits.json,37,0.5,0.0,97.0,35.55,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,isotropic-two-axis,encoded,least-squares,fits.json,132,0.5,0.0,97.0,25.55,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,one-sided-diagonal,encoded,least-squares,fits.json,52,2.0,0.0,97.0,50.666666666666664,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,rotated-axis,encoded,least-squares,fits.json,116,0.5,0.0,97.0,35.666666666666664,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,shipped-diagonal,encoded,least-squares,fits.json,68,2.0,0.0,97.0,34.26315789473684,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,signed-normal,encoded,least-squares,fits.json,84,2.0,0.0,97.0,28.666666666666668,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,arc,two-term-even,encoded,least-squares,fits.json,100,8.0,0.0,97.0,29.36842105263158,0.0,1,672,10744,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,body-forward-affine,encoded,least-squares,fits.json,260,2.0,0.0,10.0,10.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,body-forward-affine,linear,least-squares,fits.json,372,2.0,0.0,21.0,21.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,body-forward-even-affine,encoded,minimax,fits.json,277,8.0,0.0,9.0,9.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,body-forward-even-affine,linear,least-squares,fits.json,388,8.0,0.0,21.0,21.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,colour-gradient,encoded,least-squares,fits.json,164,2.0,0.0,97.0,21.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,constant,encoded,minimax,fits.json,5,2.0,0.0,97.0,19.0,0.0,1,84,4152,0,not closed,all shapes
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-add,encoded,least-squares,fits.json,180,2.0,0.0,81.0,15.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-add,linear,least-squares,fits.json,292,2.0,0.0,82.0,69.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-affine,encoded,least-squares,fits.json,228,2.0,0.0,80.0,20.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-affine,linear,minimax,fits.json,341,2.0,0.0,80.0,8.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-even-affine,encoded,least-squares,fits.json,244,0.5,0.0,80.0,15.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-even-affine,linear,minimax,fits.json,357,2.0,0.0,80.0,21.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-multiply,encoded,least-squares,fits.json,196,2.0,0.0,80.0,7.0,0.0,1,48,3648,0,not closed,circular only
no-glass,apple-macos-27.0-1x-light-standard-glass0.5,inactive,straight,coverage-multiply,linear,least-squares,fits.json,308,2.0,0.0,80.0,6.0,0.0,1,48,3648,0,not closed,circular only
