stratum,part,family,space,bestValidationWorstBin,method,fit,shellZeroWorstBin,bar,tau,pixels,bins,underpopulated,status,domain
1x/light/active,straight,coverage-even-affine,linear,109.0,least-squares,358,19.0,0.0,1,3648,48,0,not closed,circular only
1x/light/active,straight,coverage-multiply,encoded,109.0,least-squares,198,7.0,0.0,1,3648,48,0,not closed,circular only
1x/light/active,straight,coverage-multiply,linear,109.0,least-squares,310,7.0,0.0,1,3648,48,0,not closed,circular only
1x/light/active,straight,coverage-screen,encoded,109.0,least-squares,214,24.0,0.0,1,3648,48,0,not closed,circular only
1x/light/active,straight,coverage-screen,linear,109.0,least-squares,326,25.0,0.0,1,3648,48,0,not closed,circular only
1x/light/active,straight,even,encoded,124.0,least-squares,22,32.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,gradient,encoded,124.0,least-squares,150,20.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,isotropic-even,encoded,124.0,least-squares,38,20.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,isotropic-two-axis,encoded,124.0,least-squares,134,16.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,one-sided-diagonal,encoded,124.0,least-squares,54,32.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,rotated-axis,encoded,124.0,least-squares,118,20.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,shipped-diagonal,encoded,124.0,least-squares,70,18.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,signed-normal,encoded,124.0,least-squares,86,17.0,0.0,1,4152,84,0,not closed,all shapes
1x/light/active,straight,two-term-even,encoded,124.0,least-squares,102,17.0,0.0,1,4152,84,0,not closed,all shapes
2x/dark/inactive,arc,body-forward-affine,encoded,10.894736842105264,minimax,265,10.894736842105264,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,body-forward-affine,linear,27.444444444444443,minimax,377,27.444444444444443,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,body-forward-even-affine,encoded,10.894736842105264,minimax,281,10.894736842105264,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,body-forward-even-affine,linear,22.2,minimax,393,22.2,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,colour-gradient,encoded,128.0,least-squares,168,54.705882352941174,0.0,1,21320,672,0,not closed,all shapes
2x/dark/inactive,arc,constant,encoded,128.0,least-squares,8,109.76470588235294,0.0,1,21320,672,0,not closed,all shapes
2x/dark/inactive,arc,coverage-add,encoded,22.88888888888889,least-squares,184,22.88888888888889,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-add,linear,45.888888888888886,minimax,297,45.888888888888886,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-affine,encoded,25.0,least-squares,232,25.0,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-affine,linear,45.888888888888886,minimax,345,45.888888888888886,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-even-affine,encoded,23.88888888888889,least-squares,248,23.88888888888889,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-even-affine,linear,48.333333333333336,minimax,361,48.333333333333336,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-multiply,encoded,20.0,least-squares,200,17.333333333333332,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-multiply,linear,22.666666666666668,least-squares,312,22.666666666666668,0.0,1,6752,384,0,not closed,circular only
2x/dark/inactive,arc,coverage-screen,encoded,46.333333333333336,least-squares,216,46.333333333333336,0.0,1,6752,384,0,not closed,circular only
