== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
photo__capsule-button__rest-tint-orange  calibration web     0.3538  0.1860  0.0981  0.0413  0.1125  0.1856  0.2083  0.2418  0.2119  0.1881  0.0975  0.0330  0.0997  0.1571  0.1834  0.1817  0.1779    7.32      SE  0.137
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4274  0.4281  0.4252  0.4188  0.4116  0.4019  0.3931  0.3869  0.3869  0.3869  0.3931  0.4019  0.4116  0.4188  0.4253  0.4281    1.11     NNE  0.904
light-solid__capsule-button__rest-tint-orange calibration web     0.4277  0.4221  0.4213  0.4140  0.4087  0.4007  0.3921  0.3896  0.3837  0.3816  0.3837  0.3896  0.3921  0.4007  0.4087  0.4140  0.4213    1.11       N  0.904
photo__capsule-button__rest-tint-blue    calibration native  0.1909  0.2791  0.1410  0.1465  0.2119  0.2810  0.3501  0.3770  0.3505  0.2778  0.1229  0.0414  0.1284  0.2601  0.3416  0.3630  0.3373    9.10      SE  0.110
photo__capsule-button__rest-tint-blue    calibration web     0.1971  0.2222  0.1182  0.1405  0.2074  0.2464  0.2716  0.3174  0.2681  0.2258  0.1084  0.0343  0.1097  0.1906  0.2239  0.2212  0.2179    9.26      SE  0.108
photo__capsule-button__rest-tint-orange-half calibration native  0.4306  0.2062  0.1225  0.0571  0.1370  0.2441  0.2899  0.3090  0.2866  0.2031  0.0978  0.0402  0.1031  0.1863  0.2371  0.2436  0.2270    7.69      SE  0.130
photo__capsule-button__rest-tint-orange-half calibration web     0.4528  0.2453  0.1268  0.0530  0.1356  0.2317  0.2661  0.2772  0.2724  0.2447  0.1122  0.0304  0.1137  0.1985  0.2323  0.2347  0.2279    9.12      SE  0.110
checkerboard__capsule-button__rest-tint-blue validation  native  0.1954  0.4772  0.4883  0.0116  0.6188  0.6201  0.3251  0.3475  0.3640  0.4091  0.5569  0.5818  0.6064  0.2762  0.3624  0.6731  0.4488   57.86      NW  0.017
checkerboard__capsule-button__rest-tint-blue validation  web     0.2050  0.4256  0.4782  0.0193  0.6128  0.6088  0.2081  0.2276  0.2841  0.3953  0.5524  0.5762  0.5987  0.1509  0.1953  0.6618  0.3368   34.29      NW  0.029
photo__rrect-md__rest-tint-orange        validation  native  0.3609  0.1955  0.0384  0.0226  0.0519  0.2102  0.2798  0.2746  0.2715  0.1975  0.0329  0.0158  0.0515  0.1934  0.2472  0.2446  0.2464   17.68     ESE  0.057
photo__rrect-md__rest-tint-orange        validation  web     0.3628  0.1701  0.0867  0.0403  0.0917  0.1709  0.1844  0.1890  0.1738  0.1704  0.0843  0.0267  0.0921  0.1647  0.1627  0.1821  0.1619    7.08      SE  0.141
checkerboard-4__rrect-sm__rest           calibration native  0.6081  0.2456  0.2698  0.2659  0.2467  0.2116  0.2601  0.1838  0.2512  0.2062  0.1647  0.1853  0.1999  0.2098  0.2688  0.1838  0.2701    1.64     NNW  0.610
checkerboard-4__capsule-button__rest     calibration native  0.6079  0.2496  0.2527  0.2085  0.2219  0.2230  0.2498  0.2263  0.2137  0.2061  0.1626  0.1547  0.1848  0.2249  0.2571  0.2442  0.2322    1.66     WNW  0.602
checkerboard-4__rrect-md__rest           calibration native  0.6776  0.2020  0.1972  0.1921  0.1778  0.1819  0.2018  0.1889  0.1949  0.1768  0.1161  0.1248  0.1456  0.1792  0.2041  0.1989  0.2050    1.77     NNW  0.566
