== apple-macos-26.5-1x-light-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest-tint-orange calibration web     0.3665  0.2748  0.2801  0.0291  0.0321  0.0041  0.0043  0.0010  0.0046  0.0384  0.0265  0.0963  0.3270  0.0578  0.0828  0.5247  0.2023  526.99      NW  0.002
photo__capsule-button__rest-tint-orange  calibration native  0.3441  0.1580  0.0623  0.0270  0.0901  0.1778  0.1935  0.2302  0.1972  0.1579  0.0522  0.0137  0.0534  0.1517  0.1507  0.1469  0.1454   16.80      SE  0.060
photo__capsule-button__rest-tint-orange  calibration web     0.3555  0.0457  0.0287  0.0333  0.0321  0.0049  0.0055  0.0010  0.0059  0.0423  0.0294  0.0340  0.0295  0.0403  0.0297  0.0372  0.0295   43.93       N  0.023
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4270  0.4313  0.4255  0.4223  0.4098  0.4067  0.3973  0.3904  0.3869  0.3904  0.3951  0.4046  0.4098  0.4235  0.4286  0.4313    1.11     NNE  0.897
light-solid__capsule-button__rest-tint-orange calibration web     0.4276  0.4175  0.3030  0.0876  0.0147  0.0012  0.0014  0.0002  0.0014  0.0117  0.0148  0.0830  0.2864  0.4146  0.4218  0.4244  0.4297 1932.76     NNW  0.001
photo__capsule-button__rest-tint-blue    calibration native  0.1908  0.2129  0.1095  0.1478  0.2148  0.2420  0.2706  0.3057  0.2693  0.2130  0.0886  0.0338  0.0964  0.2134  0.2304  0.2294  0.2129    9.04      SE  0.111
photo__capsule-button__rest-tint-blue    calibration web     0.1973  0.1104  0.0927  0.1010  0.0762  0.0098  0.0113  0.0022  0.0122  0.1011  0.0692  0.0829  0.0821  0.1037  0.0835  0.0868  0.0787   50.20       N  0.020
photo__capsule-button__rest-tint-orange-half calibration native  0.4303  0.1574  0.0704  0.0398  0.0834  0.1952  0.1899  0.1934  0.2000  0.1551  0.0541  0.0266  0.0477  0.1363  0.1317  0.1250  0.1271    7.53     SSE  0.133
photo__capsule-button__rest-tint-orange-half calibration web     0.4565  0.0623  0.0347  0.0569  0.0668  0.0395  0.0392  0.0391  0.0436  0.0660  0.0399  0.0436  0.0386  0.0534  0.0274  0.0259  0.0199    3.35     ENE  0.298
checkerboard__capsule-button__rest-tint-blue validation  native  0.1950  0.4436  0.4869 -0.0090  0.6041  0.6084  0.1807  0.1891  0.2618  0.3731  0.5287  0.5795  0.6052  0.2316  0.2483  0.6712  0.3571     inf      NW -0.013
checkerboard__capsule-button__rest-tint-blue validation  web     0.2041  0.3854  0.3806  0.0696  0.0712  0.0089  0.0104  0.0022  0.0112  0.0929  0.0636  0.1526  0.4369  0.1179  0.1374  0.6857  0.2848  312.27      NW  0.003
photo__rrect-md__rest-tint-orange        validation  native  0.3607  0.1490  0.0213  0.0188  0.0320  0.1748  0.1896  0.1946  0.1847  0.1548  0.0141  0.0087  0.0279  0.1505  0.1412  0.1447  0.1359   22.44      SE  0.045
photo__rrect-md__rest-tint-orange        validation  web     0.3618  0.0415  0.0289  0.0275  0.0294  0.0371  0.0054  0.0013  0.0048  0.0397  0.0284  0.0276  0.0327  0.0412  0.0301  0.0257  0.0297   30.81       N  0.032
checkerboard-4__rrect-sm__rest           calibration native  0.6053  0.2309  0.2769  0.2623  0.2434  0.1959  0.2240  0.0626  0.2085  0.1741  0.1694  0.1897  0.2006  0.1929  0.2443  0.0626  0.2404    4.42     NNE  0.226
checkerboard-4__rrect-sm__rest           calibration web     0.6862  0.1658  0.1920  0.1281  0.0524  0.0676  0.0406  0.0116  0.0408  0.0746  0.0546  0.1180  0.1416  0.1571  0.1491  0.0082  0.1388   23.33     NNE  0.043
checkerboard-4__capsule-button__rest     calibration native  0.6059  0.2118  0.2460  0.1978  0.2097  0.1970  0.1596  0.1577  0.1398  0.1631  0.1502  0.1456  0.1703  0.1972  0.1802  0.2007  0.1745    1.76     NNE  0.568
checkerboard-4__capsule-button__rest     calibration web     0.6819  0.1245  0.1186  0.0521  0.0581  0.0224  0.0253  0.0195  0.0260  0.0802  0.0524  0.0457  0.1132  0.1482  0.1111  0.1332  0.1025    7.60       W  0.132
checkerboard-4__rrect-md__rest           calibration native  0.6781  0.1877  0.1813  0.1739  0.1731  0.1634  0.1212  0.0996  0.1179  0.1484  0.1007  0.1214  0.1400  0.1605  0.1341  0.1286  0.1486    1.88       N  0.531
checkerboard-4__rrect-md__rest           calibration web     0.6972  0.1518  0.1404  0.0379  0.0476  0.0669  0.0126  0.0116  0.0126  0.0712  0.0453  0.0308  0.1047  0.1258  0.0950  0.1017  0.1042   13.04       N  0.077
checkerboard-4__rrect-ml__rest           calibration native  0.6921  0.1707  0.1283  0.0728  0.1047  0.1465  0.1430  0.1597  0.1381  0.1399  0.0589  0.0455  0.0788  0.1451  0.1599  0.1907  0.1562    4.20      NW  0.238
checkerboard-4__rrect-ml__rest           calibration web     0.6967  0.1412  0.0968  0.0327  0.0276  0.0677  0.0088 -0.0028  0.0086  0.0718  0.0263  0.0282  0.0621  0.1074  0.1113  0.1638  0.1181     inf      NW -0.017
checkerboard-4__rrect-lg__rest           calibration native  0.7057  0.1649  0.1145  0.0694  0.0939  0.1412  0.1396  0.1676  0.1290  0.1359  0.0538  0.0418  0.0724  0.1390  0.1596  0.1944  0.1673    4.65      NW  0.215
checkerboard-4__rrect-lg__rest           calibration web     0.6967  0.1275  0.0819  0.0269  0.0277  0.0670  0.0028 -0.0128  0.0019  0.0715  0.0271  0.0239  0.0518  0.0940  0.1099  0.1470  0.1258     inf      NW -0.087
checkerboard-8__rrect-sm__rest           calibration native  0.6116  0.2295  0.2706  0.2523  0.2377  0.2111  0.2042  0.2319  0.2114  0.2161  0.0993  0.0869  0.1465  0.1619  0.2267  0.1313  0.1454    3.11     NNE  0.321
checkerboard-8__rrect-sm__rest           calibration web     0.6844  0.1242  0.2261  0.1534  0.0525  0.1093  0.0216  0.1071  0.1644  0.0792  0.0217  0.0801  0.1580  0.1852  0.1724  0.0824  0.0240   10.49     NNE  0.095
checkerboard-8__capsule-button__rest     calibration native  0.6104  0.2222  0.0592  0.0636  0.1750  0.2158  0.1675  0.0524  0.0743  0.1860  0.2118  0.2116  0.2266  0.1585  0.2631  0.2749  0.2695    5.24      NW  0.191
checkerboard-8__capsule-button__rest     calibration web     0.6814  0.1511  0.1229 -0.0072  0.0800  0.1165  0.0814 -0.0127  0.1226  0.1214  0.0986  0.1204  0.1562  0.0522  0.1892  0.1972  0.2110     inf     NNW -0.060
checkerboard-8__rrect-md__rest           calibration native  0.6791  0.1919  0.1753  0.1554  0.1515  0.1781  0.1591  0.1488  0.1743  0.1657  0.1200  0.1257  0.1522  0.1643  0.1858  0.2028  0.2250    1.88     NNW  0.533
checkerboard-8__rrect-md__rest           calibration web     0.6981  0.1132  0.0485  0.0309  0.0551  0.0968  0.0633  0.0299  0.0507  0.0718  0.0975  0.0832  0.1128  0.1411  0.1417  0.1847  0.2148    7.18     NNW  0.139
checkerboard-8__rrect-ml__rest           calibration native  0.6905  0.1761  0.1810  0.1231  0.1780  0.1550  0.1723  0.1355  0.1867  0.1563  0.0900  0.0714  0.1551  0.1471  0.1739  0.1373  0.1438    2.61     SSE  0.383
checkerboard-8__rrect-ml__rest           calibration web     0.6958  0.1040  0.1099  0.0430  0.0607  0.0848  0.0576  0.0453  0.0567  0.0720  0.0583  0.0627 -0.0102  0.1260  0.0046  0.1118  0.1136     inf       W -0.081
checkerboard-8__rrect-lg__rest           calibration native  0.7033  0.1672  0.1273  0.1592  0.1068  0.1547  0.0989  0.1555  0.1064  0.1438  0.1096  0.0330  0.1157  0.1393  0.1727  0.1231  0.1864    5.65     NNW  0.177
checkerboard-8__rrect-lg__rest           calibration web     0.6943  0.0939  0.0609  0.0549  0.0449  0.0719  0.0266 -0.0031  0.0253  0.0736  0.0579  0.0312  0.0780  0.0758  0.1211  0.0975  0.1449     inf     NNW -0.022
checkerboard-32__rrect-sm__rest          calibration native  0.6202  0.1577 -0.1740 -0.1684  0.1414  0.1923  0.1947  0.1996  0.2026  0.2092  0.0885  0.0661  0.1811  0.2385  0.2831  0.2872  0.3065     inf     NNW -0.568
checkerboard-32__rrect-sm__rest          calibration web     0.6856  0.0746 -0.1657 -0.1105  0.0248  0.1208  0.2184  0.2203  0.2321  0.0649 -0.1891 -0.1737  0.0816  0.2203  0.2689  0.2697  0.2791     inf     NNW -0.678
