== apple-macos-26.5-2x-light-standard / css / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
photo__rrect-ml__rest                    calibration native  0.6709  0.1168  0.1107  0.1285  0.1407  0.1488  0.1628  0.1658  0.1704  0.1192  0.0574  0.0613  0.0780  0.1627  0.1430  0.1363  0.1132    2.97     SSE  0.337
photo__rrect-ml__rest                    calibration web     0.6582  0.0494  0.0375  0.0256  0.0833  0.1394  0.0871  0.0388  0.0301  0.0630 -0.0055  0.0060  0.0381  0.0779  0.0123 -0.0253  0.0002     inf       E -0.181
checkerboard__rrect-sm__rest             calibration native  0.6163  0.2333  0.2141  0.2273  0.2348  0.2133  0.2584  0.2424  0.2319  0.2214  0.2065  0.1958  0.1884  0.2496  0.2499  0.2626  0.2672    1.42     NNW  0.705
checkerboard__rrect-sm__rest             calibration web     0.6981  0.1177  0.0489  0.1128  0.1566  0.1548 -0.0211 -0.1848 -0.2405  0.0621  0.2704  0.2710  0.2624  0.1907  0.2094  0.2235  0.2235     inf      SW -0.888
photo__rrect-sm__rest                    validation  native  0.5408  0.2004  0.0812  0.0500  0.0805  0.2213  0.2821  0.2746  0.2758  0.2072  0.0615  0.0413  0.0660  0.1680  0.2070  0.2110  0.2197    6.83     ESE  0.146
photo__rrect-sm__rest                    validation  web     0.6031  0.1032  0.0814  0.0614  0.0487  0.1186  0.0833  0.0667  0.0545  0.0980  0.0493  0.0715  0.1049  0.1148  0.0779  0.0701  0.0847    2.44       E  0.410
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.0331  0.0328  0.0330  0.0247  0.0060  0.0005  0.0000  0.0005  0.0303  0.0253  0.0328  0.0327  0.0331  0.0330  0.0330  0.0327  801.77       W  0.001
impulse__capsule-button__rest-tint-orange calibration native  0.4243  0.1357  0.0556  0.0131  0.0571  0.1126  0.1531  0.1639  0.1517  0.1357  0.0556  0.0131  0.0571  0.1128  0.1531  0.1639  0.1517   12.48      SE  0.080
impulse__capsule-button__rest-tint-orange calibration web     0.4275  0.0331  0.0328  0.0330  0.0247  0.0060  0.0005  0.0000  0.0005  0.0303  0.0253  0.0328  0.0327  0.0331  0.0330  0.0330  0.0327  707.01       N  0.001
checkerboard__capsule-button__rest-tint-orange calibration native  0.3522  0.3603  0.3741 -0.0046  0.4702  0.4663  0.2218  0.2367  0.2555  0.2896  0.4028  0.4250  0.4496  0.2040  0.2638  0.5163  0.3333     inf      NW -0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.3665  0.2762  0.3290  0.0420  0.0316  0.0078  0.0004 -0.0001  0.0004  0.0386  0.0323  0.0649  0.3864  0.0680  0.0906  0.5293  0.2205     inf      NW -0.000
photo__capsule-button__rest-tint-orange  calibration native  0.3442  0.2060  0.0999  0.0387  0.1150  0.2131  0.2632  0.2855  0.2624  0.2049  0.0923  0.0271  0.0945  0.1890  0.2432  0.2545  0.2383   10.53      SE  0.095
photo__capsule-button__rest-tint-orange  calibration web     0.3555  0.0464  0.0460  0.0463  0.0350  0.0084  0.0006 -0.0000  0.0006  0.0425  0.0358  0.0460  0.0460  0.0465  0.0463  0.0464  0.0460     inf       W -0.000
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4274  0.4281  0.4252  0.4188  0.4116  0.4019  0.3931  0.3869  0.3869  0.3869  0.3931  0.4019  0.4116  0.4188  0.4253  0.4281    1.11     NNE  0.904
light-solid__capsule-button__rest-tint-orange calibration web     0.4276  0.4181  0.3491  0.0405  0.0105  0.0026  0.0001 -0.0001  0.0001  0.0118  0.0107  0.0382  0.3316  0.4146  0.4220  0.4272  0.4304     inf     NNW -0.000
photo__capsule-button__rest-tint-blue    calibration native  0.1909  0.2791  0.1410  0.1465  0.2119  0.2810  0.3501  0.3770  0.3505  0.2778  0.1229  0.0414  0.1284  0.2601  0.3416  0.3630  0.3373    9.10      SE  0.110
photo__capsule-button__rest-tint-blue    calibration web     0.1973  0.1112  0.1109  0.1111  0.0813  0.0191  0.0012 -0.0001  0.0012  0.1017  0.0833  0.1100  0.1103  0.1112  0.1109  0.1108  0.1102     inf       N -0.001
photo__capsule-button__rest-tint-orange-half calibration native  0.4306  0.2062  0.1225  0.0571  0.1370  0.2441  0.2899  0.3090  0.2866  0.2031  0.0978  0.0402  0.1031  0.1863  0.2371  0.2436  0.2270    7.69      SE  0.130
photo__capsule-button__rest-tint-orange-half calibration web     0.4567  0.0633  0.0583  0.0652  0.0668  0.0459  0.0304  0.0366  0.0355  0.0657  0.0422  0.0503  0.0612  0.0678  0.0466  0.0250  0.0355    2.72       W  0.368
checkerboard__capsule-button__rest-tint-blue validation  native  0.1954  0.4772  0.4883  0.0116  0.6188  0.6201  0.3251  0.3475  0.3640  0.4091  0.5569  0.5818  0.6064  0.2762  0.3624  0.6731  0.4488   57.86      NW  0.017
