== apple-macos-26.5-1x-dark-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-32__rrect-sm__rest          calibration native  0.1114  0.4271 -0.0680 -0.0684  0.6323  0.6331  0.5766  0.7987  0.8446  0.5015  0.0296  0.0127  0.6558  0.4111  0.6506  0.8153  0.8709     inf     NNW -0.079
checkerboard-32__rrect-sm__rest          calibration web     0.0674  0.4599 -0.0232 -0.0404  0.6722  0.6917  0.6625  0.8972  0.8885  0.5196  0.0724  0.0136  0.6766  0.3918  0.7027  0.9080  0.9121     inf     NNW -0.044
checkerboard-32__capsule-button__rest    calibration native  0.1124  0.4484  0.8691  0.8458  0.8509  0.8122  0.1125  0.1285  0.1158  0.4950  0.8429  0.8368  0.8418  0.0451 -0.0227 -0.0301 -0.0082     inf     NNE -0.035
checkerboard-32__capsule-button__rest    calibration web     0.0672  0.4638  0.9048  0.9000  0.9045  0.8594  0.1196  0.1396  0.1212  0.5162  0.8870  0.8888  0.8919  0.0480 -0.0033  0.0034  0.0064     inf     NNE -0.004
checkerboard-32__rrect-md__rest          calibration native  0.0496  0.4697  0.8553  0.8287  0.8437  0.4405  0.4302 -0.0044  0.0187  0.4109  0.7761  0.7706  0.4168  0.4311 -0.0069 -0.0104  0.0126     inf     NNE -0.012
checkerboard-32__rrect-md__rest          calibration web     0.0474  0.4846  0.8624  0.8631  0.8498  0.4722  0.4293 -0.0015  0.0090  0.4376  0.7843  0.8021  0.4317  0.4244 -0.0175 -0.0196 -0.0083     inf      NE -0.023
checkerboard-32__rrect-ml__rest          calibration native  0.0503  0.4333  0.4070  0.0695  0.0191  0.3798  0.7698  0.7374  0.3716  0.3918  0.3938 -0.0015 -0.0238  0.4460  0.7914  0.7827  0.5148     inf     WNW -0.030
checkerboard-32__rrect-ml__rest          calibration web     0.0480  0.4561  0.4195  0.0674 -0.0011  0.4014  0.8207  0.8040  0.4391  0.4395  0.4306 -0.0234 -0.0295  0.4986  0.8529  0.8526  0.5595     inf     WNW -0.035
checkerboard-32__rrect-lg__rest          calibration native  0.0508  0.4379  0.8345  0.2033  0.4530  0.4239  0.0381  0.4196  0.0366  0.3552  0.6431  0.3106  0.6971  0.3540  0.3683  0.5990  0.0101   82.86     NNE  0.012
checkerboard-32__rrect-lg__rest          calibration web     0.0487  0.4753  0.8634  0.1936  0.4756  0.4700  0.0186  0.4548  0.0830  0.4258  0.7781  0.3936  0.8064  0.4028  0.4075  0.6878  0.0947   46.47     NNE  0.022
checkerboard-64__rrect-sm__rest          calibration native  0.1611  0.8208  0.8211  0.7777  0.5109  0.1559  0.6002  0.7599  0.7948  0.7948  0.7948  0.7653  0.5044  0.1560  0.6049  0.7729  0.8211    5.27     NNE  0.190
checkerboard-64__rrect-sm__rest          calibration web     0.1131  0.8691  0.8664  0.8623  0.6085  0.1558  0.6550  0.8516  0.8428  0.8428  0.8428  0.8516  0.6037  0.1558  0.6598  0.8623  0.8664    5.58       N  0.179
checkerboard-64__capsule-button__rest    calibration native  0.1317  0.6242 -0.0977 -0.1023 -0.0908 -0.0644 -0.0694 -0.0725 -0.0828  0.6025 -0.0979 -0.1025 -0.0910 -0.0648 -0.0692 -0.0713 -0.0836     inf       N -0.164
checkerboard-64__capsule-button__rest    calibration web     0.0738  0.6794 -0.0406 -0.0463 -0.0395 -0.0209 -0.0215 -0.0195 -0.0231  0.6642 -0.0403 -0.0464 -0.0394 -0.0210 -0.0222 -0.0193 -0.0248     inf       N -0.068
checkerboard-64__rrect-md__rest          calibration native  0.0482  0.4915  0.8577  0.8311  0.8429  0.0689  0.4111  0.7716  0.7767  0.4470  0.7750  0.7667  0.3845  0.0684  0.8489  0.8365  0.8662   12.67     NNW  0.079
checkerboard-64__rrect-md__rest          calibration web     0.0423  0.5167  0.8746  0.8725  0.8532  0.0394  0.4047  0.8130  0.8033  0.4773  0.8029  0.8127  0.3883  0.0394  0.8580  0.8732  0.8801   22.37     NNW  0.045
checkerboard-64__rrect-ml__rest          calibration native  0.0505  0.5733  0.4918  0.0302  0.0177  0.5824 -0.0151 -0.0014  0.3890  0.4948  0.3832 -0.0026 -0.0259  0.5758  0.0184  0.0302  0.4830     inf       E -0.044
checkerboard-64__rrect-ml__rest          calibration web     0.0451  0.6176  0.5059  0.0309  0.0017  0.6367 -0.0259 -0.0193  0.4379  0.5820  0.4366 -0.0206 -0.0293  0.6295  0.0028  0.0309  0.4900     inf       E -0.046
checkerboard-64__rrect-lg__rest          calibration native  0.0531  0.4766  0.0166 -0.0097 -0.0115  0.4575  0.0125  0.0004  0.0176  0.4029 -0.0038 -0.0240 -0.0079  0.4548  0.0158  0.0257  0.0541     inf       N -0.050
checkerboard-64__rrect-lg__rest          calibration web     0.0480  0.4997 -0.0167 -0.0299  0.0032  0.5442  0.1003  0.0584  0.0158  0.4707 -0.0075  0.0026  0.0556  0.5418  0.0299 -0.0042  0.0020     inf       E -0.055
checkerboard-lc16__rrect-sm__rest        calibration native  0.1253  0.3868  0.0870  0.0853  0.3311  0.2646  0.5129  0.1764  0.1678  0.3813  0.6248  0.6011  0.4222  0.4857  0.5937  0.6161  0.6429    7.54     NNW  0.133
checkerboard-lc16__rrect-sm__rest        calibration web     0.1092  0.4078  0.1373  0.1003  0.3689  0.2772  0.5278  0.2120  0.2146  0.4015  0.6437  0.6437  0.4673  0.4979  0.6081  0.6531  0.6566    6.55     NNW  0.153
checkerboard-lc16__capsule-button__rest  calibration native  0.1256  0.3839  0.4753  0.0852  0.5884  0.6077  0.1597  0.1786  0.2442  0.3625  0.5825  0.6187  0.6200  0.1729  0.2213  0.6302  0.3150    7.40      NW  0.135
checkerboard-lc16__capsule-button__rest  calibration web     0.1082  0.4023  0.4802  0.1001  0.6073  0.6207  0.1420  0.1562  0.2364  0.3718  0.6090  0.6448  0.6439  0.2090  0.2531  0.6500  0.3424    6.50      NW  0.154
checkerboard-lc16__rrect-md__rest        calibration native  0.0657  0.3998  0.6519  0.2796  0.2828  0.3842  0.5324  0.6004  0.6004  0.3631  0.1332  0.1255  0.3519  0.4049  0.6228  0.5493  0.1749    5.19     NNE  0.193
checkerboard-lc16__rrect-md__rest        calibration web     0.0703  0.3895  0.6434  0.2729  0.2741  0.3713  0.5212  0.5958  0.5831  0.3514  0.1243  0.1197  0.3502  0.3959  0.6115  0.5426  0.1609    5.38     NNE  0.186
checkerboard-lc16__rrect-ml__rest        calibration native  0.0680  0.3852  0.4245  0.6057  0.6150  0.4071  0.5736  0.1617  0.3799  0.3336  0.3190  0.5491  0.2312  0.3651  0.2277  0.1838  0.3719    3.80     ENE  0.263
checkerboard-lc16__rrect-ml__rest        calibration web     0.0710  0.3880  0.4308  0.6323  0.6371  0.4170  0.5941  0.1705  0.3891  0.3548  0.3465  0.5961  0.2401  0.3673  0.2228  0.1854  0.3730    3.74     ENE  0.268
checkerboard-lc16__rrect-lg__rest        calibration native  0.0707  0.3745  0.2111  0.2499  0.3988  0.3668  0.1565  0.3691  0.1542  0.3194  0.5170  0.3077  0.5522  0.3294  0.3487  0.4987  0.5660    3.67     NNW  0.272
checkerboard-lc16__rrect-lg__rest        calibration web     0.0717  0.3842  0.2137  0.2558  0.4132  0.3835  0.1358  0.3832  0.1573  0.3457  0.5743  0.3488  0.5945  0.3460  0.3624  0.5324  0.5875    4.38     WSW  0.228
hc-text-7__rrect-sm__rest                calibration native  0.1161  0.8658  0.8662  0.8198  0.8574  0.6170  0.8486  0.7576  0.1476  0.1098  0.0895  0.7402  0.5821  0.5469  0.1698  0.8143  0.8662    9.68     NNE  0.103
hc-text-7__rrect-sm__rest                calibration web     0.1046  0.8776  0.8749  0.8709  0.8688  0.6252  0.8601  0.8349  0.1434  0.1392  0.0738  0.8184  0.5866  0.5540  0.1493  0.8709  0.8749   11.89       N  0.084
hc-text-7__rrect-md__rest                calibration native  0.0587  0.8716  0.2938  0.6250  0.6907  0.6979  0.8246  0.5517  0.7128  0.7967  0.6965  0.4581  0.5091  0.4824  0.5365  0.6346  0.3040    2.97       N  0.337
hc-text-7__rrect-md__rest                calibration web     0.0635  0.8522  0.3008  0.6445  0.6815  0.6888  0.8127  0.5590  0.7087  0.7765  0.6769  0.4712  0.5142  0.4861  0.5379  0.6544  0.3155    2.83       N  0.353
