== apple-macos-26.5-2x-dark-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-8__rrect-ml__rest           calibration web     0.0520  0.4389  0.4720  0.0891  0.0658  0.0260  0.0264  0.0329  0.0269  0.0271  0.0899  0.1668  0.1399  0.4235  0.2500  0.6018  0.4394   23.12      NW  0.043
checkerboard-8__rrect-lg__rest           calibration native  0.0467  0.4434  0.2882  0.4524  0.2878  0.4380  0.3122  0.4356  0.2990  0.3733  0.5219  0.3658  0.5726  0.3768  0.6351  0.4626  0.6665    2.32     NNW  0.432
checkerboard-8__rrect-lg__rest           calibration web     0.0520  0.4302  0.2184  0.1380  0.0832  0.0255  0.0452  0.0665  0.0451  0.0267  0.0767  0.0975  0.4678  0.3869  0.6729  0.4947  0.6888   27.06     NNW  0.037
checkerboard-32__rrect-sm__rest          calibration native  0.1130  0.4503 -0.0596 -0.0609  0.6083  0.6548  0.7525  0.8500  0.8430  0.5046  0.0531  0.0412  0.6341  0.4231  0.7871  0.8626  0.8693     inf     NNW -0.070
checkerboard-32__rrect-sm__rest          calibration web     0.0764  0.4495  0.0156  0.0458  0.0768  0.0539  0.0401  0.0494  0.0568  0.0430 -0.0246 -0.0174  0.6417  0.3324  0.7359  0.9058  0.9058     inf      NW -0.027
checkerboard-32__capsule-button__rest    calibration native  0.1141  0.5099  0.8676  0.8594  0.8593  0.8305  0.1754  0.1740  0.1746  0.5037  0.8418  0.8422  0.8505  0.1336  0.0542  0.0389  0.0770   22.28     NNE  0.045
checkerboard-32__capsule-button__rest    calibration web     0.0735  0.4460  0.7312  0.2320  0.1637  0.0566 -0.0310 -0.0502 -0.0511  0.0412  0.1654  0.2284  0.7161  0.0547 -0.0231 -0.0262 -0.0240     inf     NNE -0.070
checkerboard-32__rrect-md__rest          calibration native  0.0508  0.4774  0.8698  0.8596  0.8487  0.4375  0.4614  0.0216  0.0473  0.4141  0.7811  0.7929  0.4355  0.4336  0.0135  0.0091  0.0357   95.87     NNE  0.010
checkerboard-32__rrect-md__rest          calibration web     0.0505  0.4213  0.7308  0.2382  0.1670  0.0234  0.0206 -0.0290 -0.0191  0.0242  0.1533  0.2319  0.2947  0.4016 -0.0306 -0.0361 -0.0025     inf     NNE -0.049
checkerboard-32__rrect-ml__rest          calibration native  0.0519  0.4377  0.4219  0.0792  0.0231  0.3851  0.7730  0.7510  0.3884  0.4060  0.3982 -0.0042 -0.0197  0.4455  0.7945  0.8101  0.5410     inf      NW -0.024
checkerboard-32__rrect-ml__rest          calibration web     0.0491  0.4362  0.2636  0.0587 -0.0397  0.0163  0.1168  0.1481  0.0516  0.0229  0.0493 -0.0350 -0.0393  0.4380  0.8628  0.8739  0.5556     inf      NW -0.045
checkerboard-32__rrect-lg__rest          calibration native  0.0520  0.4459  0.8333  0.2262  0.4574  0.4301  0.1013  0.4450  0.0967  0.3601  0.6450  0.3486  0.6977  0.3635  0.3930  0.6071  0.0269   30.95     NNE  0.032
checkerboard-32__rrect-lg__rest          calibration web     0.0496  0.4109  0.6819  0.0540  0.0593  0.0270 -0.0330  0.0766 -0.0331  0.0227  0.1656  0.0926  0.6293  0.3567  0.3939  0.6741 -0.0225     inf     NNE -0.049
checkerboard-64__rrect-sm__rest          calibration native  0.1620  0.8203  0.8203  0.8136  0.7214  0.1896  0.7253  0.8010  0.7940  0.7940  0.7940  0.8010  0.7144  0.1902  0.7402  0.8136  0.8203    4.33       N  0.231
