bed          scene                                    span  bgLin    bgEnc   authority  farS    codes/unit
w21          checkerboard-4__rrect-ml__rest            128  0.5000  0.7354     1.0000  0.1040      -1.394
w21          checkerboard-4__rrect-lg__rest            160  0.5000  0.7354     1.0000  0.3520      -3.948
w21          checkerboard__rrect-sm__rest               32  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard__capsule-button__rest         44  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard__rrect-md__rest               96  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard__rrect-ml__rest              128  0.5000  0.7354     1.0000  0.1040      -1.394
w21          checkerboard__rrect-lg__rest              160  0.5000  0.7354     1.0000  0.3520      -3.948
w21          checkerboard-32__rrect-sm__rest            32  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard-32__capsule-button__rest      44  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard-32__rrect-md__rest            96  0.5000  0.7354     1.0000  0.0000       0.000
w21          checkerboard-32__rrect-ml__rest           128  0.5000  0.7354     1.0000  0.1040      -1.394
w21          checkerboard-32__rrect-lg__rest           160  0.5000  0.7354     1.0000  0.3520      -3.948
w21          checkerboard-64__rrect-sm__rest            32  1.0000  1.0000     1.0000  0.0000       0.000
w21          checkerboard-64__capsule-button__rest      44  0.5780  0.7846     1.0000  0.0000       0.000
w21          checkerboard-64__rrect-md__rest            96  0.4553  0.7051     1.0000  0.0000       0.000
w21          checkerboard-64__rrect-ml__rest           128  0.5100  0.7419     1.0000  0.1040      -1.352
w21          checkerboard-lc16__rrect-sm__rest          32  0.4997  0.7352     1.0000  0.0000       0.000
w21          checkerboard-lc16__capsule-button__rest    44  0.4997  0.7352     1.0000  0.0000       0.000
w21          checkerboard-lc16__rrect-md__rest          96  0.4997  0.7352     1.0000  0.0000       0.000
w21          checkerboard-lc16__rrect-ml__rest         128  0.4997  0.7352     1.0000  0.1040      -1.396
w21          hc-text-7__rrect-sm__rest                  32  0.6230  0.8112     1.0000  0.0000       0.000
w21          hc-text-7__rrect-md__rest                  96  0.6136  0.8057     1.0000  0.0000       0.000
w21          hc-text-7__rrect-lg__rest                 160  0.6818  0.8444     1.0000  0.3520      -2.573
w21          hc-text__rrect-sm__rest                    32  0.5110  0.7426     1.0000  0.0000       0.000
w21          hc-text__rrect-md__rest                    96  0.6060  0.8013     1.0000  0.0000       0.000
w21          hc-text__rrect-lg__rest                   160  0.6965  0.8524     1.0000  0.3520      -2.530
w21          hc-text-28__rrect-sm__rest                 32  0.6160  0.8071     1.0000  0.0000       0.000
w21          hc-text-28__rrect-md__rest                 96  0.6728  0.8394     1.0000  0.0000       0.000
w21          light-solid__rrect-sm__rest                32  0.8910  0.9505     1.0000  0.0000       0.000
w21          light-solid__rrect-md__rest                96  0.8910  0.9505     1.0000  0.0000       0.000
w21          light-solid__rrect-lg__rest               160  0.8910  0.9505     1.0000  0.3520      -3.186
w21          dark-solid__rrect-sm__rest                 32  0.0117  0.1104     1.0000  0.0000       0.000
w21          dark-solid__rrect-md__rest                 96  0.0117  0.1104     1.0000  0.0000       0.000
w21          dark-solid__rrect-lg__rest                160  0.0117  0.1104     1.0000  0.3520      43.327
w21          mid-dark-solid__rrect-sm__rest             32  0.0595  0.2706     1.0000  0.0000       0.000
w21          mid-dark-solid__rrect-md__rest             96  0.0595  0.2706     1.0000  0.0000       0.000
w21          mid-dark-solid__rrect-lg__rest            160  0.0595  0.2706     1.0000  0.3520      10.620
w21          photo__rrect-sm__rest                      32  0.1682  0.4470     1.0000  0.0000       0.000
w21          photo__rrect-md__rest                      96  0.2147  0.5008     1.0000  0.0000       0.000
w21          photo__rrect-lg__rest                     160  0.2258  0.5125     1.0000  0.3520      -5.361
