== apple-macos-26.5-2x-light-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.0331  0.0328  0.0330  0.0247  0.0060  0.0005  0.0000  0.0005  0.0303  0.0253  0.0328  0.0327  0.0331  0.0330  0.0330  0.0327  801.77       W  0.001
impulse__capsule-button__rest-tint-orange calibration native  0.4243  0.1357  0.0556  0.0131  0.0571  0.1126  0.1531  0.1639  0.1517  0.1357  0.0556  0.0131  0.0571  0.1128  0.1531  0.1639  0.1517   12.48      SE  0.080
impulse__capsule-button__rest-tint-orange calibration web     0.4275  0.0331  0.0328  0.0330  0.0247  0.0060  0.0005  0.0000  0.0005  0.0303  0.0253  0.0328  0.0327  0.0331  0.0330  0.0330  0.0327  707.01       N  0.001
checkerboard__capsule-button__rest-tint-orange calibration native  0.3522  0.3603  0.3741 -0.0046  0.4702  0.4663  0.2218  0.2367  0.2555  0.2896  0.4028  0.4250  0.4496  0.2040  0.2638  0.5163  0.3333     inf      NW -0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.3665  0.2762  0.3290  0.0420  0.0316  0.0078  0.0004 -0.0001  0.0004  0.0386  0.0323  0.0649  0.3864  0.0680  0.0906  0.5293  0.2205     inf      NW -0.000
photo__capsule-button__rest-tint-orange  calibration native  0.3442  0.2060  0.0999  0.0387  0.1150  0.2131  0.2632  0.2855  0.2624  0.2049  0.0923  0.0271  0.0945  0.1890  0.2432  0.2545  0.2383   10.53      SE  0.095
photo__capsule-button__rest-tint-orange  calibration web     0.3555  0.0464  0.0460  0.0463  0.0350  0.0084  0.0006 -0.0000  0.0006  0.0425  0.0358  0.0460  0.0460  0.0465  0.0463  0.0464  0.0460     inf       W -0.000
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4274  0.4281  0.4252  0.4188  0.4116  0.4019  0.3931  0.3869  0.3869  0.3869  0.3931  0.4019  0.4116  0.4188  0.4253  0.4281    1.11     NNE  0.904
light-solid__capsule-button__rest-tint-orange calibration web     0.4276  0.4181  0.3491  0.0405  0.0105  0.0026  0.0001 -0.0001  0.0001  0.0118  0.0107  0.0382  0.3316  0.4146  0.4220  0.4272  0.4304     inf     NNW -0.000
photo__capsule-button__rest-tint-blue    calibration native  0.1909  0.2791  0.1410  0.1465  0.2119  0.2810  0.3501  0.3770  0.3505  0.2778  0.1229  0.0414  0.1284  0.2601  0.3416  0.3630  0.3373    9.10      SE  0.110
photo__capsule-button__rest-tint-blue    calibration web     0.1973  0.1112  0.1109  0.1111  0.0813  0.0191  0.0012 -0.0001  0.0012  0.1017  0.0833  0.1100  0.1103  0.1112  0.1109  0.1108  0.1102     inf       N -0.001
photo__capsule-button__rest-tint-orange-half calibration native  0.4306  0.2062  0.1225  0.0571  0.1370  0.2441  0.2899  0.3090  0.2866  0.2031  0.0978  0.0402  0.1031  0.1863  0.2371  0.2436  0.2270    7.69      SE  0.130
photo__capsule-button__rest-tint-orange-half calibration web     0.4567  0.0633  0.0583  0.0652  0.0668  0.0459  0.0304  0.0365  0.0355  0.0657  0.0422  0.0503  0.0612  0.0678  0.0466  0.0250  0.0355    2.72       W  0.368
checkerboard__capsule-button__rest-tint-blue validation  native  0.1954  0.4772  0.4883  0.0116  0.6188  0.6201  0.3251  0.3475  0.3640  0.4091  0.5569  0.5818  0.6064  0.2762  0.3624  0.6731  0.4488   57.86      NW  0.017
checkerboard__capsule-button__rest-tint-blue validation  web     0.2041  0.3874  0.4468  0.1017  0.0747  0.0176  0.0010 -0.0001  0.0010  0.0935  0.0766  0.1240  0.5178  0.1340  0.1609  0.6917  0.3174     inf      NW -0.000
photo__rrect-md__rest-tint-orange        validation  native  0.3609  0.1955  0.0384  0.0226  0.0519  0.2102  0.2798  0.2746  0.2715  0.1975  0.0329  0.0158  0.0515  0.1934  0.2472  0.2446  0.2464   17.68     ESE  0.057
photo__rrect-md__rest-tint-orange        validation  web     0.3618  0.0419  0.0417  0.0409  0.0323  0.0376  0.0008 -0.0000  0.0007  0.0398  0.0325  0.0409  0.0418  0.0419  0.0416  0.0411  0.0416     inf       N -0.000
hc-text__capsule-button__rest-tint-orange holdout     native  0.3609  0.5199  0.5225  0.5076  0.4894  0.2699  0.4306  0.2778  0.4004  0.3921  0.4004  0.1070  0.4195  0.2586  0.4046  0.3841  0.5225    4.88     NNW  0.205
hc-text__capsule-button__rest-tint-orange holdout     web     0.3972  0.4798  0.4069  0.0548  0.0191  0.0048  0.0004  0.0000  0.0004  0.0234  0.0195  0.0253  0.3355  0.1741  0.3419  0.2798  0.5031 24618.57     NNW  0.000
photo__rrect-lg__rest-tint-orange        holdout     native  0.3648  0.1940  0.0446  0.0294  0.0581  0.2059  0.2673  0.2672  0.2652  0.1970  0.0452  0.0228  0.0488  0.1960  0.2528  0.2517  0.2469   11.73     ESE  0.085
photo__rrect-lg__rest-tint-orange        holdout     web     0.3614  0.0423  0.0423  0.0419  0.0338  0.0382  0.0007  0.0004  0.0006  0.0404  0.0339  0.0420  0.0423  0.0429  0.0421  0.0417  0.0422  104.23       W  0.010
dark-solid__capsule-button__rest-tint-blue holdout     native  0.2352  0.2106  0.0815  0.0171  0.0828  0.1736  0.2392  0.2602  0.2398  0.2106  0.0815  0.0171  0.0828  0.1736  0.2392  0.2602  0.2398   15.20      SE  0.066
dark-solid__capsule-button__rest-tint-blue holdout     web     0.2379  0.1223  0.1211  0.1219  0.0898  0.0214  0.0014 -0.0000  0.0014  0.1119  0.0920  0.1212  0.1208  0.1223  0.1220  0.1221  0.1208     inf       W -0.000

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-2x-light-standard-css-after-angular.json
