== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__rrect-lg__rest             holdout     web     0.6988  0.2437  0.1522  0.1239  0.2051  0.2508  0.1015  0.1878  0.2320  0.2530  0.1971  0.2156  0.2830  0.2304  0.2151  0.2860  0.2783    2.82      NW  0.355
photo__rrect-lg__rest                    holdout     native  0.6831  0.1054  0.1014  0.1200  0.1254  0.1383  0.1396  0.1394  0.1432  0.1162  0.0706  0.0523  0.0643  0.1417  0.1635  0.1692  0.1517    3.24      NW  0.309
photo__rrect-lg__rest                    holdout     web     0.6595  0.2434  0.2519  0.2445  0.2371  0.2702  0.2421  0.2398  0.2459  0.2559  0.1792  0.1724  0.1843  0.2309  0.1816  0.1764  0.1656    1.63       E  0.613
mid-dark-solid__capsule-button__rest     holdout     native  0.4398  0.2591  0.1240  0.0493  0.1251  0.2246  0.2877  0.3067  0.2892  0.2587  0.1239  0.0493  0.1251  0.2246  0.2877  0.3067  0.2893    6.23      SE  0.161
mid-dark-solid__capsule-button__rest     holdout     web     0.4567  0.3548  0.2493  0.2530  0.2476  0.2596  0.2470  0.2530  0.2502  0.3547  0.2483  0.2530  0.2470  0.2596  0.2476  0.2530  0.2512    1.44       N  0.696
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4276  0.1695  0.1150  0.1199  0.1149  0.1205  0.1149  0.1199  0.1159  0.1695  0.1150  0.1199  0.1149  0.1205  0.1149  0.1199  0.1159    1.47       N  0.678
impulse__capsule-button__rest-tint-orange calibration native  0.4243  0.1357  0.0556  0.0131  0.0571  0.1126  0.1531  0.1639  0.1517  0.1357  0.0556  0.0131  0.0571  0.1128  0.1531  0.1639  0.1517   12.48      SE  0.080
impulse__capsule-button__rest-tint-orange calibration web     0.4275  0.1692  0.1125  0.1200  0.1129  0.1173  0.1129  0.1200  0.1133  0.1692  0.1125  0.1200  0.1129  0.1173  0.1129  0.1200  0.1133    1.50       N  0.665
checkerboard__capsule-button__rest-tint-orange calibration native  0.3522  0.3603  0.3741 -0.0046  0.4702  0.4663  0.2218  0.2367  0.2555  0.2896  0.4028  0.4250  0.4496  0.2040  0.2638  0.5163  0.3333     inf      NW -0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.3684  0.3316  0.3895  0.1309  0.4637  0.4488  0.1276  0.1325  0.1831  0.2864  0.3920  0.4128  0.4354  0.1315  0.1497  0.4985  0.2550    3.91      NW  0.256
photo__capsule-button__rest-tint-orange  calibration native  0.3442  0.2060  0.0999  0.0387  0.1150  0.2131  0.2632  0.2855  0.2624  0.2049  0.0923  0.0271  0.0945  0.1890  0.2432  0.2545  0.2383   10.53      SE  0.095
photo__capsule-button__rest-tint-orange  calibration web     0.3540  0.1863  0.1545  0.1560  0.1767  0.1880  0.1743  0.1850  0.1766  0.1878  0.1509  0.1460  0.1512  0.1584  0.1523  0.1435  0.1465    1.31       E  0.763
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4274  0.4281  0.4252  0.4188  0.4116  0.4019  0.3931  0.3869  0.3869  0.3869  0.3931  0.4019  0.4116  0.4188  0.4253  0.4281    1.11     NNE  0.904
light-solid__capsule-button__rest-tint-orange calibration web     0.4277  0.4221  0.4213  0.4140  0.4086  0.4006  0.3921  0.3895  0.3837  0.3815  0.3837  0.3895  0.3921  0.4006  0.4086  0.4140  0.4213    1.11       N  0.904
photo__capsule-button__rest-tint-blue    calibration native  0.1909  0.2791  0.1410  0.1465  0.2119  0.2810  0.3501  0.3770  0.3505  0.2778  0.1229  0.0414  0.1284  0.2601  0.3416  0.3630  0.3373    9.10      SE  0.110
photo__capsule-button__rest-tint-blue    calibration web     0.1972  0.2222  0.1887  0.2323  0.2474  0.2459  0.2275  0.2635  0.2247  0.2254  0.1820  0.1729  0.1807  0.1911  0.1810  0.1666  0.1743    1.58      SE  0.632
photo__capsule-button__rest-tint-orange-half calibration native  0.4306  0.2062  0.1225  0.0571  0.1370  0.2441  0.2899  0.3090  0.2866  0.2031  0.0978  0.0402  0.1031  0.1863  0.2371  0.2436  0.2270    7.69      SE  0.130
photo__capsule-button__rest-tint-orange-half calibration web     0.4530  0.2451  0.2101  0.2123  0.2237  0.2337  0.2206  0.2173  0.2269  0.2445  0.1890  0.1845  0.1895  0.1996  0.1902  0.1853  0.1877    1.33       N  0.753
checkerboard__capsule-button__rest-tint-blue validation  native  0.1954  0.4772  0.4883  0.0116  0.6188  0.6201  0.3251  0.3475  0.3640  0.4091  0.5569  0.5818  0.6064  0.2762  0.3624  0.6731  0.4488   57.86      NW  0.017
checkerboard__capsule-button__rest-tint-blue validation  web     0.2051  0.4251  0.5118  0.1623  0.6195  0.6076  0.1638  0.1670  0.2453  0.3944  0.5529  0.5761  0.5986  0.1496  0.1723  0.6617  0.3204    4.42      NW  0.226
photo__rrect-md__rest-tint-orange        validation  native  0.3609  0.1955  0.0384  0.0226  0.0519  0.2102  0.2798  0.2746  0.2715  0.1975  0.0329  0.0158  0.0515  0.1934  0.2472  0.2446  0.2464   17.68     ESE  0.057
photo__rrect-md__rest-tint-orange        validation  web     0.3628  0.1700  0.1300  0.1445  0.1402  0.1708  0.1469  0.1410  0.1367  0.1710  0.1306  0.1411  0.1420  0.1652  0.1287  0.1339  0.1273    1.34       S  0.744
hc-text__capsule-button__rest-tint-orange holdout     native  0.3609  0.5199  0.5225  0.5076  0.4894  0.2699  0.4306  0.2778  0.4004  0.3921  0.4004  0.1070  0.4195  0.2586  0.4046  0.3841  0.5225    4.88     NNW  0.205
hc-text__capsule-button__rest-tint-orange holdout     web     0.3835  0.4961  0.4940  0.4834  0.4662  0.2275  0.4067  0.1651  0.3816  0.3770  0.3816  0.1651  0.4059  0.2275  0.3575  0.3135  0.4940    3.01       N  0.333
photo__rrect-lg__rest-tint-orange        holdout     native  0.3648  0.1940  0.0446  0.0294  0.0581  0.2059  0.2673  0.2672  0.2652  0.1970  0.0452  0.0228  0.0488  0.1960  0.2528  0.2517  0.2469   11.73     ESE  0.085
photo__rrect-lg__rest-tint-orange        holdout     web     0.3634  0.1711  0.1286  0.1295  0.1339  0.1608  0.1384  0.1308  0.1333  0.1697  0.1400  0.1382  0.1395  0.1680  0.1358  0.1309  0.1329    1.33       N  0.752
dark-solid__capsule-button__rest-tint-blue holdout     native  0.2352  0.2106  0.0815  0.0171  0.0828  0.1736  0.2392  0.2602  0.2398  0.2106  0.0815  0.0171  0.0828  0.1736  0.2392  0.2602  0.2398   15.20      SE  0.066
dark-solid__capsule-button__rest-tint-blue holdout     web     0.2381  0.2327  0.1673  0.1665  0.1656  0.1745  0.1656  0.1665  0.1685  0.2327  0.1673  0.1665  0.1656  0.1745  0.1656  0.1665  0.1685    1.40       N  0.712

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-2x-light-standard-webgpu-before-angular.json
